Title,Genre,User Rating,Number of Votes,Runtime,Year,Summary,Stars,Certificate,Metascore,Gross,Episode,Episode Title,Init,Ongoing
The Emperor's New Groove,"Animation, Adventure, Comedy",7.4,"216,870",78 min,(2000),"Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder.",,G,70        ,216870,0,,2000,No
Pocahontas,"Animation, Adventure, Drama",6.7,"197,116",81 min,(I) (1995),An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.,,G,58        ,197116,0,,1995,No
Frozen II,"Animation, Adventure, Comedy",6.8,"185,430",103 min,(2019),"Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom.",,PG,64        ,185430,0,,2019,No
Toy Story 2,"Animation, Adventure, Comedy",7.9,"603,780",92 min,(1999),"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.",,G,88        ,603780,0,,1999,No
Akira,"Animation, Action, Drama",8.0,"197,226",124 min,(1988),"A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics.",,R,67        ,197226,0,,1988,No
Hell's Paradise: Jigokuraku,"Animation, Action, Adventure",8.2,"8,402",24 min,(2023– ),A squad of prisoners and their guards are sent to investigate a mysterious island. They get stranded there and must rely on each other to survive the island's mysterious and monstrous residents.,"Chiaki Kobayashi,Yumiri Hanamori,Marisa Duran,Alejandro Saab",TV-MA,,8402,0,,2023,Yes
【Oshi No Ko】,"Animation, Drama, Fantasy",8.5,"6,207",24 min,(2023– ),A doctor and his recently-deceased patient are reborn as twins to a famous Japanese musical idol and navigate the highs and lows of the Japanese entertainment industry as they grow up together through their lives.,"Takeo Otsuka,Yurie Igoma,Megumi Han,Jack Stansbury",TV-14,,6207,0,,2023,Yes
Haikyu!!,"Animation, Comedy, Drama",8.7,"31,351",24 min,(2014–2020),"Determined to be like the volleyball championship's star player nicknamed ""the small giant"", Shoyo joins his school's volleyball club.","Ayumu Murase,Kaito Ishikawa,Yu Hayashi,Satoshi Hino",TV-14,,31351,0,,2014,No
Isle of Dogs,"Animation, Adventure, Comedy",7.8,"182,832",101 min,(2018),"Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog.",,PG-13,82        ,182832,0,,2018,No
Lightyear,"Animation, Action, Adventure",6.1,"117,839",105 min,(2022),"While spending years attempting to return home, marooned Space Ranger Buzz Lightyear encounters an army of ruthless robots commanded by Zurg who are attempting to steal his fuel source.",,PG,60        ,117839,0,,2022,No
Monsters University,"Animation, Adventure, Comedy",7.2,"377,449",104 min,(2013),"A look at the relationship between Mike Wazowski (Billy Crystal) and James P. ""Sully"" Sullivan (John Goodman) during their days at Monsters University, when they weren't necessarily the best of friends.",,G,65        ,377449,0,,2013,No
Sonic the Hedgehog 3,"Animation, Action, Adventure",,,,(2024),Plot under wraps,,,,,0,,2024,No
Baki the Grappler,"Animation, Action, Drama",7.5,"1,947",24 min,(2001–2007),Baki Hanma competes in an underground fighting tournament organized by Tokugawa. Masters of various fighting styles come from all over the world in order to determine who is the strongest fighter on Earth.,"Bob Carter,Masami Kikuchi,Robert McCollum,Naomi Kusumi",TV-PG,,1947,0,,2001,No
Onward,"Animation, Action, Adventure",7.4,"161,752",102 min,(I) (2020),"In a magical world full of technological advances, elven brothers Ian and Barley Lightfoot set out on an adventure to resurrect their late father for a day.",,PG,61        ,161752,0,,2020,No
Ralph Breaks the Internet,"Animation, Adventure, Comedy",7.0,"174,484",112 min,(2018),"Six years after the events of ""Wreck-It Ralph,"" Ralph and Vanellope, now friends, discover a wi-fi router in their arcade, leading them into a new adventure.",,PG,71        ,174484,0,,2018,No
Code Geass,"Animation, Action, Drama",8.7,"75,288",24 min,(2006–2008),"After being given a mysterious power to control others, an outcast prince becomes the masked leader of the rebellion against an all-powerful empire.","Jun Fukuyama,Takahiro Sakurai,Johnny Yong Bosch,Yukana",TV-14,,75288,0,,2006,No
Dragon Ball,"Animation, Action, Adventure",8.6,"62,616",25 min,(1986–1989),"Son Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire.","Masako Nozawa,Jôji Yanami,Brice Armstrong,Stephanie Nadolny",TV-14,,62616,0,,1986,No
